,obs,reward
0,"[array([ 0.015508  ,  0.04506351,  0.00436223, -0.01679021]), array([ 0.01640927, -0.15012073,  0.00402642,  0.27726585]), array([ 0.01340685,  0.04494355,  0.00957174, -0.01414443]), array([ 0.01430572, -0.15031436,  0.00928885,  0.28154306]), array([ 0.01129944, -0.34556757,  0.01491971,  0.57714112]), array([ 0.00438809, -0.15065788,  0.02646253,  0.28919536]), array([0.00137493, 0.04407692, 0.03224644, 0.00497451]), array([ 0.00225647, -0.1514923 ,  0.03234593,  0.30765464]), array([-0.00077338, -0.34705986,  0.03849902,  0.61036058]), array([-0.00771458, -0.1524966 ,  0.05070624,  0.33004786]), array([-0.01076451, -0.34830231,  0.05730719,  0.63828018]), array([-0.01773055, -0.54417455,  0.0700728 ,  0.94844531]), array([-0.02861405, -0.35006244,  0.0890417 ,  0.67857625]), array([-0.03561529, -0.54630115,  0.10261323,  0.99791187]), array([-0.04654132, -0.74263416,  0.12257146,  1.32097766]), array([-0.061394  , -0.9390734 ,  0.14899102,  1.64937169]), array([-0.08017547, -1.13558981,  0.18197845,  1.98452208]), array([-0.10288726, -1.33209807,  0.22166889,  2.32762408])]",17.0
1,"[array([-0.04098817, -0.00498044,  0.04423002,  0.03175073]), array([-0.04108778,  0.18948024,  0.04486503, -0.24665563]), array([-0.03729818,  0.38393367,  0.03993192, -0.52485637]), array([-0.0296195 ,  0.57847159,  0.02943479, -0.80469376]), array([-0.01805007,  0.7731779 ,  0.01334092, -1.08797413]), array([-0.00258651,  0.96812141, -0.00841856, -1.37644127]), array([ 0.01677592,  1.16334752, -0.03594739, -1.67174508]), array([ 0.04004287,  0.96866107, -0.06938229, -1.39047033]), array([ 0.05941609,  1.16457521, -0.0971917 , -1.70401652]), array([ 0.08270759,  0.97069706, -0.13127203, -1.44310116]), array([ 0.10212153,  1.16716783, -0.16013405, -1.77375496]), array([ 0.12546489,  1.36369225, -0.19560915, -2.11164852]), array([ 0.15273873,  1.17099173, -0.23784212, -1.88525314])]",12.0
2,"[array([0.02635819, 0.00123609, 0.04182311, 0.00658726]), array([ 0.02638291,  0.19573406,  0.04195486, -0.27261216]), array([3.02975905e-02, 3.93502511e-05, 3.65026132e-02, 3.30027017e-02]), array([ 0.03029838, -0.19558653,  0.03716267,  0.33697544]), array([ 0.02638665, -0.39121709,  0.04390218,  0.64114197]), array([ 0.01856231, -0.19673376,  0.05672502,  0.36260116]), array([ 0.01462763, -0.39261414,  0.06397704,  0.67261736]), array([ 0.00677535, -0.19843707,  0.07742939,  0.40074405]), array([ 0.00280661, -0.39456705,  0.08544427,  0.71679907]), array([-0.00508474, -0.59076111,  0.09978025,  1.0351066 ]), array([-0.01689996, -0.39709717,  0.12048238,  0.77534233]), array([-0.0248419 , -0.20382024,  0.13598923,  0.52286478]), array([-0.02891831, -0.40056777,  0.14644652,  0.85511915]), array([-0.03692966, -0.59734938,  0.16354891,  1.19003354]), array([-0.04887665, -0.40468013,  0.18734958,  0.95275554]), array([-0.05697025, -0.6017613 ,  0.20640469,  1.29796344]), array([-0.06900548, -0.40976933,  0.23236396,  1.07634131])]",16.0
3,"[array([ 0.0422072 ,  0.02886634,  0.0243782 , -0.0098082 ]), array([ 0.04278452,  0.22363035,  0.02418204, -0.29470092]), array([ 0.04725713,  0.41839934,  0.01828802, -0.57966017]), array([ 0.05562512,  0.6132603 ,  0.00669481, -0.86652636]), array([ 0.06789032,  0.80829051, -0.01063571, -1.15709685]), array([ 0.08405613,  1.00354947, -0.03377765, -1.45309557]), array([ 0.10412712,  1.19906959, -0.06283956, -1.7561372 ]), array([ 0.12810851,  1.00471361, -0.09796231, -1.48364133]), array([ 0.14820279,  1.20088417, -0.12763513, -1.80524124]), array([ 0.17222047,  1.39717936, -0.16373996, -2.13471186]), array([ 0.20016406,  1.59350141, -0.20643419, -2.47318081]), array([ 0.23203408,  1.4006264 , -0.25589781, -2.25027249])]",11.0
4,"[array([-0.00716013, -0.02639914,  0.02582146, -0.03283999]), array([-0.00768811, -0.22188168,  0.02516466,  0.26787674]), array([-0.01212574, -0.02712773,  0.0305222 , -0.01676405]), array([-0.0126683 ,  0.1675435 ,  0.03018692, -0.29966276]), array([-0.00931743, -0.02799544,  0.02419366,  0.00238562]), array([-0.00987734, -0.22345585,  0.02424137,  0.30260269]), array([-0.01434645, -0.41891476,  0.03029343,  0.60283117]), array([-0.02272475, -0.22422932,  0.04235005,  0.31984191]), array([-0.02720934, -0.02973529,  0.04874689,  0.04080964]), array([-0.02780404, -0.22552114,  0.04956308,  0.34846547]), array([-0.03231446, -0.42131171,  0.05653239,  0.65635625]), array([-0.0407407 , -0.61717319,  0.06965952,  0.9662908 ]), array([-0.05308416, -0.81315805,  0.08898533,  1.28001847]), array([-0.06934732, -0.61927554,  0.1145857 ,  1.01647254]), array([-0.08173283, -0.81572331,  0.13491515,  1.34282634]), array([-0.0980473 , -1.01225995,  0.16177168,  1.67449716]), array([-0.1182925 , -1.2088479 ,  0.19526162,  2.01288265]), array([-0.14246946, -1.0162193 ,  0.23551928,  1.78647337])]",17.0
5,"[array([ 0.00696056, -0.00735466, -0.03730728,  0.03169942]), array([ 0.00681347,  0.18828189, -0.03667329, -0.272517  ]), array([ 0.01057911, -0.0062981 , -0.04212363,  0.00837721]), array([ 0.01045315,  0.18940185, -0.04195608, -0.29729301]), array([ 0.01424118,  0.385096  , -0.04790194, -0.60290738]), array([ 0.0219431 ,  0.58085406, -0.05996009, -0.91028544]), array([ 0.03356018,  0.77673396, -0.0781658 , -1.22119497]), array([ 0.04909486,  0.97277129, -0.1025897 , -1.53731045]), array([ 0.06855029,  1.16896754, -0.13333591, -1.860166  ]), array([ 0.09192964,  0.97553659, -0.17053923, -1.61167964]), array([ 0.11144037,  0.78278941, -0.20277282, -1.37664889]), array([ 0.12709616,  0.59069416, -0.2303058 , -1.15361702])]",11.0
6,"[array([0.04220703, 0.0446665 , 0.03127613, 0.01551466]), array([ 0.04310036, -0.1508897 ,  0.03158642,  0.31789919]), array([0.04008257, 0.04376846, 0.03794441, 0.03534246]), array([ 0.04095794, -0.1518765 ,  0.03865126,  0.33975164]), array([0.03792041, 0.04267479, 0.04544629, 0.05950331]), array([ 0.0387739 , -0.15306831,  0.04663635,  0.36617141]), array([0.03571254, 0.04136095, 0.05395978, 0.08855073]), array([ 0.03653976, -0.15449126,  0.0557308 ,  0.39775794]), array([ 0.03344993, -0.35035776,  0.06368596,  0.70747791]), array([ 0.02644278, -0.54630144,  0.07783551,  1.01950861]), array([ 0.01551675, -0.74236957,  0.09822569,  1.33558091]), array([ 6.69355637e-04, -9.38582440e-01,  1.24937305e-01,  1.65731345e+00]), array([-0.01810229, -1.13492058,  0.15808357,  1.98616121]), array([-0.0408007 , -0.94177258,  0.1978068 ,  1.74633504]), array([-0.05963616, -1.13851727,  0.2327335 ,  2.09347397])]",14.0
7,"[array([-0.04942049,  0.04647126, -0.00425806,  0.02830571]), array([-0.04849106, -0.14858937, -0.00369194,  0.31964214]), array([-0.05146285, -0.34365854,  0.0027009 ,  0.61115848]), array([-0.05833602, -0.14857445,  0.01492407,  0.31932747]), array([-0.06130751,  0.04633181,  0.02131062,  0.03138815]), array([-0.06038087,  0.24114178,  0.02193838, -0.2544956 ]), array([-0.05555804,  0.04571356,  0.01684847,  0.04502554]), array([-0.05464377,  0.24058992,  0.01774898, -0.24229428]), array([-0.04983197,  0.04521899,  0.0129031 ,  0.05593388]), array([-0.04892759, -0.15008557,  0.01402177,  0.35265974]), array([-0.0519293 ,  0.04483421,  0.02107497,  0.06443107]), array([-0.05103262, -0.15058346,  0.02236359,  0.36368807]), array([-0.05404429, -0.346016  ,  0.02963735,  0.66333792]), array([-0.06096461, -0.54153746,  0.04290411,  0.96520342]), array([-0.07179535, -0.73720864,  0.06220818,  1.27105003]), array([-0.08653953, -0.93306707,  0.08762918,  1.58254682]), array([-0.10520087, -1.12911562,  0.11928012,  1.90122131]), array([-0.12778318, -0.93546914,  0.15730454,  1.64780076]), array([-0.14649256, -1.13204206,  0.19026056,  1.9850766 ]), array([-0.16913341, -1.32858588,  0.22996209,  2.33017211])]",19.0
8,"[array([ 0.01028303,  0.02650748, -0.02505714,  0.03788765]), array([ 0.01081318, -0.16824636, -0.02429939,  0.32256067]), array([ 0.00744825,  0.02721304, -0.01784818,  0.02231482]), array([ 0.00799251, -0.16764847, -0.01740188,  0.30931343]), array([ 0.00463954, -0.36251821, -0.01121561,  0.59645789]), array([-0.00261082, -0.16724111,  0.00071355,  0.30026335]), array([-0.00595564,  0.02787066,  0.00671881,  0.00780555]), array([-0.00539823,  0.22289562,  0.00687492, -0.28274996]), array([-0.00094032,  0.41791884,  0.00121993, -0.57325667]), array([ 0.00741806,  0.2227798 , -0.01024521, -0.28018968]), array([ 0.01187366,  0.02780548, -0.015849  ,  0.00924441]), array([ 0.01242977,  0.2231511 , -0.01566411, -0.28839663]), array([ 0.01689279,  0.02825599, -0.02143205, -0.00069488]), array([ 0.01745791,  0.22367865, -0.02144594, -0.30006209]), array([ 0.02193148,  0.41909961, -0.02744719, -0.59943075]), array([ 0.03031347,  0.2243722 , -0.0394358 , -0.31551812]), array([ 0.03480092,  0.42003305, -0.04574616, -0.62037232]), array([ 0.04320158,  0.61576304, -0.05815361, -0.92710483]), array([ 0.05551684,  0.4214725 , -0.07669571, -0.6532492 ]), array([ 0.06394629,  0.61757393, -0.08976069, -0.96906308]), array([ 0.07629777,  0.8137788 , -0.10914195, -1.28853978]), array([ 0.09257334,  0.62020131, -0.13491275, -1.03192532]), array([ 0.10497737,  0.81683469, -0.15555125, -1.36373932]), array([ 0.12131406,  0.62396538, -0.18282604, -1.1234762 ]), array([ 0.13379337,  0.82095097, -0.20529556, -1.46748201]), array([ 0.15021239,  0.62884707, -0.2346452 , -1.24531103])]",25.0
9,"[array([ 0.03812981,  0.02985197, -0.01485216, -0.04462419]), array([ 0.03872685,  0.22518371, -0.01574464, -0.34195586]), array([ 0.04323052,  0.42052609, -0.02258376, -0.63956184]), array([ 0.05164105,  0.22572617, -0.035375  , -0.35407554]), array([ 0.05615557,  0.03112461, -0.04245651, -0.0727539 ]), array([ 0.05677806, -0.16336377, -0.04391159,  0.20623731]), array([ 0.05351079,  0.03235771, -0.03978684, -0.09996777]), array([ 0.05415794, -0.16217211, -0.0417862 ,  0.17990179]), array([ 0.0509145 , -0.35667196, -0.03818816,  0.45911534]), array([ 0.04378106, -0.55123387, -0.02900585,  0.73952083]), array([ 0.03275638, -0.74594356, -0.01421544,  1.02293599]), array([ 0.01783751, -0.55063517,  0.00624328,  0.7258238 ]), array([ 0.00682481, -0.74584289,  0.02075976,  1.02046519]), array([-0.00809205, -0.55100363,  0.04116906,  0.73437221]), array([-0.01911212, -0.35647389,  0.05585651,  0.45492513]), array([-0.0262416 , -0.55233931,  0.06495501,  0.76467832]), array([-0.03728839, -0.74829275,  0.08024858,  1.07707199]), array([-0.05225424, -0.55431723,  0.10179002,  0.81061284]), array([-0.06334059, -0.36072615,  0.11800227,  0.55160392]), array([-0.07055511, -0.16744193,  0.12903435,  0.29830601]), array([-0.07390395,  0.02562721,  0.13500047,  0.04894079]), array([-0.07339141, -0.17114627,  0.13597929,  0.38098513]), array([-0.07681433, -0.36791064,  0.14359899,  0.71326202]), array([-0.08417254, -0.56469791,  0.15786423,  1.04747789]), array([-0.0954665 , -0.76152221,  0.17881379,  1.38526272]), array([-0.11069695, -0.569023  ,  0.20651904,  1.15340945]), array([-0.12207741, -0.37710366,  0.22958723,  0.93193361])]",26.0
