,timestep,episode,reward,obs_ax0,obs_ax1,obs_ax2,obs_ax3
0,0,0.0,47.0,0.043995002185798354,-0.04095593729584282,-0.038737855519875714,-0.019361363190837633
1,1,0.0,47.0,0.0431758834398815,-0.2355015500315914,-0.039125082783692464,0.2608520474778537
2,2,0.0,47.0,0.03846585243924967,-0.03984356096375857,-0.03390804183413539,-0.0439101738091357
3,3,0.0,47.0,0.0376689812199745,-0.23446329089168122,-0.034786245310318105,0.23788455926473656
4,4,0.0,47.0,0.032979715402140876,-0.42907145475937175,-0.030028554125023373,0.5193951102445145
5,5,0.0,47.0,0.02439828630695344,-0.23353990815317852,-0.019640651920133083,0.2174029473667088
6,6,0.0,47.0,0.01972748814388987,-0.42837566298659,-0.015292592972798908,0.5038262318245599
7,7,0.0,47.0,0.01115997488415807,-0.2330415571419829,-0.00521606833630771,0.20636348641998387
8,8,0.0,47.0,0.006499143741318411,-0.42808853208452213,-0.0010887986079080323,0.49739645166954344
9,9,0.0,47.0,-0.0020626269003720327,-0.6231951142291101,0.008859130425482836,0.7897360446873988
10,10,0.0,47.0,-0.014526529184954236,-0.8184376000416664,0.024653851319230813,1.0851928311702994
11,11,0.0,47.0,-0.030895281185787566,-1.0138759676896836,0.0463577079426368,1.38550879280888
12,12,0.0,47.0,-0.05117280053958124,-0.8193616782711208,0.0740678837988144,1.107675101417633
13,13,0.0,47.0,-0.06756003410500366,-0.6252872712310964,0.09622138582716706,0.839117705119008
14,14,0.0,47.0,-0.0800657795296256,-0.43160158575282825,0.11300373992954722,0.5781785316901678
15,15,0.0,47.0,-0.08869781124468216,-0.6281108041575449,0.12456731056335058,0.9042147526986843
16,16,0.0,47.0,-0.10126002732783307,-0.43487606586293287,0.14265160561732426,0.6531367086094281
17,17,0.0,47.0,-0.10995754864509173,-0.24199838716619665,0.15571433978951282,0.4085563977413228
18,18,0.0,47.0,-0.11479751638841566,-0.04938739955349533,0.1638854677443393,0.16873075288471062
19,19,0.0,47.0,-0.11578526437948557,0.14305575955877278,0.1672600828020335,-0.06809917805457494
20,20,0.0,47.0,-0.1129241491883101,0.33543405476278393,0.165898099240942,-0.30369404912902154
21,21,0.0,47.0,-0.10621546809305443,0.527851107204291,0.15982421825836157,-0.5398063054942732
22,22,0.0,47.0,-0.0956584459489686,0.33088613384038174,0.14902809214847612,-0.20133571028363545
23,23,0.0,47.0,-0.08904072327216098,0.5235973221070775,0.1450013779428034,-0.4435461755038175
24,24,0.0,47.0,-0.07856877683001942,0.7164019550153518,0.13613045443272706,-0.6872369271364989
25,25,0.0,47.0,-0.06424073772971238,0.9093980754023627,0.12238571588999708,-0.9341540110330677
26,26,0.0,47.0,-0.04605277622166512,0.712856672578629,0.10370263566933573,-0.6056553944291881
27,27,0.0,47.0,-0.031795642770092544,0.9063873186565328,0.09158952778075197,-0.8639578488055379
28,28,0.0,47.0,-0.01366789639696189,0.7101458941232541,0.0743103708046412,-0.5439398087136289
29,29,0.0,47.0,0.0005350214855031933,0.5140626545780285,0.06343157463036862,-0.22879951139282467
30,30,0.0,47.0,0.010816274577063762,0.7082234941020604,0.05885558440251213,-0.5008186734626303
31,31,0.0,47.0,0.02498074445910497,0.9024685348524017,0.048839210933259526,-0.774388180878399
32,32,0.0,47.0,0.043030115156153,0.706709972154359,0.03335144731569155,-0.4667474493216654
33,33,0.0,47.0,0.05716431459924018,0.5111330661209448,0.024016498329258243,-0.16374172524858482
34,34,0.0,47.0,0.06738697592165907,0.31567569130399153,0.020741663824286546,0.13641995907965
35,35,0.0,47.0,0.0737004897477389,0.12026288671891336,0.023470063005879546,0.43557372776752457
36,36,0.0,47.0,0.07610574748211717,0.315044860950635,0.03218153756123004,0.1503807986191612
37,37,0.0,47.0,0.08240664470112986,0.11947722274722836,0.035189153533613265,0.45304010312979653
38,38,0.0,47.0,0.08479618915607443,0.31408434609545843,0.0442499555962092,0.1716536086827981
39,39,0.0,47.0,0.0910778760779836,0.11835790937435359,0.04768302776986516,0.4779611195968073
40,40,0.0,47.0,0.09344503426547067,-0.07740368339745679,0.0572422501618013,0.7852832472951634
41,41,0.0,47.0,0.09189696059752153,-0.27326345290522136,0.07294791510770457,1.0954117387384836
42,42,0.0,47.0,0.0864316915394171,-0.4692663724877275,0.09485614988247425,1.4100618787787695
43,43,0.0,47.0,0.07704636408966255,-0.2754401541389462,0.12305738745804964,1.1484754679121192
44,44,0.0,47.0,0.07153756100688362,-0.471934586069478,0.14602689681629202,1.4770759072632922
45,45,0.0,47.0,0.06209886928549406,-0.2788666142510445,0.17556841496155787,1.2333356729209168
46,46,0.0,47.0,0.056521537000473174,-0.4757563120261057,0.2002351284199762,1.5754825096772063
47,47,0.0,47.0,0.04700641075995106,-0.2835047378641138,0.23174477861352033,1.35134350628638
0,0,1.0,9.0,-0.026645310807888536,-0.00905209725811714,-0.04822873355273582,-0.03815383659126814
1,1,1.0,9.0,-0.02682635275305088,0.18672708906461832,-0.048991810284561184,-0.34565489536120464
2,2,1.0,9.0,-0.023091810971758515,0.3825104656448667,-0.05590490819178528,-0.6533754226491322
3,3,1.0,9.0,-0.01544160165886118,0.5783644918313972,-0.06897241664476791,-0.9631249788357529
4,4,1.0,9.0,-0.0038743118222332364,0.7743419956008661,-0.08823491622148297,-1.2766541010242964
5,5,1.0,9.0,0.011612528089784087,0.9704712492124539,-0.1137679982419689,-1.595610933864052
6,6,1.0,9.0,0.031021953074033163,0.7768674435042184,-0.14568021691924993,-1.3404582673060794
7,7,1.0,9.0,0.04655930194411753,0.5838484708254936,-0.17248938226537153,-1.0966753197343488
8,8,1.0,9.0,0.0582362713606274,0.7807695398998611,-0.1944228886600585,-1.4381344079285125
9,9,1.0,9.0,0.07385166215862463,0.9776824184212125,-0.22318557681862874,-1.7847396668952606
0,0,2.0,19.0,-0.0032289321768608353,-0.010755167395157764,-0.02982701110820356,0.04991556611327756
1,1,2.0,19.0,-0.0034440355247639907,0.18478149570350993,-0.02882869978593801,-0.2520268098044765
2,2,2.0,19.0,0.0002515943893062079,0.3803029907003656,-0.03386923598202754,-0.5536616519715347
3,3,2.0,19.0,0.007857654203313521,0.5758837678057648,-0.04494246902145824,-0.856820218721192
4,4,2.0,19.0,0.019375329559428816,0.3814020347899349,-0.06207887339588208,-0.5786008223076908
5,5,2.0,19.0,0.027003370255227515,0.1872025280043334,-0.0736508898420359,-0.30610215281160297
6,6,2.0,19.0,0.030747420815314182,0.38329250887886357,-0.07977293289826795,-0.6210735145745507
7,7,2.0,19.0,0.038413270992891456,0.1893698885029374,-0.09219440318975897,-0.35454302055294595
8,8,2.0,19.0,0.04220066876295021,-0.004328502585334348,-0.09928526360081788,-0.09229613163801187
9,9,2.0,19.0,0.04211409871124352,0.19206599024705992,-0.10113118623357811,-0.41457901914493084
10,10,2.0,19.0,0.04595541851618472,0.38846503680612804,-0.10942276661647674,-0.7373542795542405
11,11,2.0,19.0,0.053724719252307276,0.5849144256533657,-0.12416985220756155,-1.0623721397071717
12,12,2.0,19.0,0.06542300776537459,0.3916355614374344,-0.14541729500170497,-0.8110981752600321
13,13,2.0,19.0,0.07325571899412328,0.19877314076797975,-0.1616392585069056,-0.5674600549111688
14,14,2.0,19.0,0.07723118180948288,0.00624348063383956,-0.17298845960512899,-0.3297453364617875
15,15,2.0,19.0,0.07735605142215968,0.20335157485158573,-0.17958336633436472,-0.6715999819353845
16,16,2.0,19.0,0.0814230829191914,0.011120259987064118,-0.19301536597307242,-0.4404043275168551
17,17,2.0,19.0,0.08164548811893269,-0.18082134407129186,-0.20182345252340952,-0.21423319589380307
18,18,2.0,19.0,0.07802906123750684,0.01652786896279637,-0.2061081164412856,-0.5631826213051431
19,19,2.0,19.0,0.07835961861676277,0.213854660126051,-0.21737176886738846,-0.9130757915158618
0,0,3.0,28.0,0.038746327087347765,-0.049299382221391796,0.03809203717445388,-0.006755228210329242
1,1,3.0,28.0,0.03776033944291993,0.14525615727168636,0.03795693261024729,-0.2871804866892368
2,2,3.0,28.0,0.04066546258835366,-0.05038596135927298,0.03221332287646255,0.017227975004478868
3,3,3.0,28.0,0.039657743361168195,-0.24595472567759236,0.032557882376552126,0.3198980076848119
4,4,3.0,28.0,0.03473864884761635,-0.051311213906062636,0.038955842530248364,0.03765779667011532
5,5,3.0,28.0,0.033712424569495095,0.14323108124959277,0.03970899846365067,-0.24248413104539557
6,6,3.0,28.0,0.03657704619448695,0.3377639904385831,0.03485931584274276,-0.5223820920360529
7,7,3.0,28.0,0.04333232600325861,0.14216917341889787,0.024411674002021704,-0.2189215461091163
8,8,3.0,28.0,0.04617570947163657,-0.05329307517226112,0.020033243079839377,0.08136078912114025
9,9,3.0,28.0,0.04510984796819135,0.14153605573405012,0.021660458862262182,-0.20493488648178115
10,10,3.0,28.0,0.04794056908287235,0.33634166226172785,0.017561761132626558,-0.4907070734912391
11,11,3.0,28.0,0.05466740232810691,0.5312115321395752,0.007747619662801776,-0.7778039114294705
12,12,3.0,28.0,0.0652916329708984,0.3359839033882598,-0.0078084585657876345,-0.4826934798585188
13,13,3.0,28.0,0.0720113110386636,0.14097302741268258,-0.01746232816295801,-0.19248174699550535
14,14,3.0,28.0,0.07483077158691724,-0.05389482304638271,-0.021311963102868117,0.09464180004397321
