,timestep,episode,reward,obs_ax0,obs_ax1,obs_ax2,obs_ax3
0,0,0.0,23.0,-0.003343418409779718,-0.018139064335745435,-0.030691556570197634,0.02328068567025482
1,1,0.0,23.0,-0.0037061996964946266,-0.21280773302930828,-0.03022594285679254,0.30612426915133506
2,2,0.0,23.0,-0.007962354357080792,-0.017268392254739945,-0.024103457473765837,0.00406415831927609
3,3,0.0,23.0,-0.00830772220217559,-0.21203652079633373,-0.024022174307380316,0.2890457580940219
4,4,0.0,23.0,-0.012548452618102265,-0.4068078267642435,-0.01824125914549988,0.5740565843317613
5,5,0.0,23.0,-0.020684609153387136,-0.6016693501778413,-0.006760127458864652,0.860937608836097
6,6,0.0,23.0,-0.032717996156943964,-0.40645599299498536,0.01045862471785729,0.5661368015398569
7,7,0.0,23.0,-0.04084711601684367,-0.6017230921890084,0.02178136074865443,0.8620962109374792
8,8,0.0,23.0,-0.052881577860623835,-0.40690438863560907,0.039023284967404016,0.576340687127155
9,9,0.0,23.0,-0.061019665633336016,-0.21235054477301407,0.05055009870994712,0.2962020296907184
10,10,0.0,23.0,-0.0652666765287963,-0.01798430704630191,0.05647413930376149,0.019880494076682187
11,11,0.0,23.0,-0.06562636266972233,0.1762841777233682,0.05687174918529513,-0.25446309432207903
12,12,0.0,23.0,-0.062100679115254964,-0.019601740256639855,0.051782487298853555,0.05560201363598655
13,13,0.0,23.0,-0.062492713920387764,-0.21542645831622317,0.052894527571573285,0.36416261008381784
14,14,0.0,23.0,-0.06680124308671223,-0.4112586867619952,0.060177779773249646,0.6730438600489415
15,15,0.0,23.0,-0.07502641682195213,-0.6071631667088919,0.07363865697422847,0.984050250101716
16,16,0.0,23.0,-0.08716968015612997,-0.4131008424585227,0.09331966197626279,0.7153758603795422
17,17,0.0,23.0,-0.09543169700530042,-0.6093821425192183,0.10762717918385363,1.0359129217002374
18,18,0.0,23.0,-0.10761933985568478,-0.4158427762688309,0.12834543761785838,0.7788650004427585
19,19,0.0,23.0,-0.1159361953810614,-0.6124737882787366,0.14392273762671356,1.1090156397570845
20,20,0.0,23.0,-0.12818567114663612,-0.4195058709116927,0.16610305042185525,0.8647237683900583
21,21,0.0,23.0,-0.13657578856487,-0.2269869833827007,0.1833975257896564,0.6285300637233734
22,22,0.0,23.0,-0.141115528232524,-0.4241304844134555,0.19596812706412386,0.9729032223469883
23,23,0.0,23.0,-0.1495981379207931,-0.23210052174079615,0.21542619151106362,0.7476181377597891
0,0,1.0,21.0,-0.04556507833752843,-0.010822638348676902,-0.049656536039979486,0.03844095598351503
1,1,1.0,21.0,-0.04578153110450197,-0.20519864286409617,-0.04888771692030919,0.31505254880089967
2,2,1.0,21.0,-0.04988550396178389,-0.3995913534636355,-0.0425866659442912,0.591925969671353
3,3,1.0,21.0,-0.057877331031056606,-0.20389989172740167,-0.030748146550864136,0.28613822434874564
4,4,1.0,21.0,-0.06195532886560464,-0.3985701402575007,-0.025025382063889223,0.5689670393113694
5,5,1.0,21.0,-0.06992673167075465,-0.2031062963358104,-0.013646041277661834,0.2685063840650983
6,6,1.0,21.0,-0.07398885759747086,-0.3980308716735479,-0.008275913596359867,0.5568542125424145
7,7,1.0,21.0,-0.08194947503094181,-0.2027937192034279,0.002861170654488423,0.2615754219105634
8,8,1.0,21.0,-0.08600534941501037,-0.3979563956805322,0.00809267909269969,0.55515942140696
9,9,1.0,21.0,-0.09396447732862101,-0.5931910338191603,0.01919586752083889,0.8503810107001388
10,10,1.0,21.0,-0.10582829800500422,-0.3983360228066479,0.036203487734841666,0.5637955813179055
11,11,1.0,21.0,-0.11379501846113718,-0.20374025873445434,0.04747939936119978,0.2827347061427656
12,12,1.0,21.0,-0.11786982363582627,-0.39950614266910134,0.05313409348405509,0.590006308329537
13,13,1.0,21.0,-0.12585994648920829,-0.2051668503684977,0.06493421965064583,0.31452284577876666
14,14,1.0,21.0,-0.12996328349657824,-0.4011507950774975,0.07122467656622117,0.6269564603723843
15,15,1.0,21.0,-0.13798629939812818,-0.20709147972255298,0.08376380577366885,0.3575278705703115
16,16,1.0,21.0,-0.14212812899257923,-0.40329818553334273,0.09091436318507508,0.6754038087533376
17,17,1.0,21.0,-0.15019409270324607,-0.5995580351555586,0.10442243936014182,0.9952698103348687
18,18,1.0,21.0,-0.16218525340635725,-0.7959098714413155,0.1243278355668392,1.3188376861390352
19,19,1.0,21.0,-0.17810345083518356,-0.9923650640492552,0.1507045892896199,1.6477041796767953
20,20,1.0,21.0,-0.19795075211616867,-1.1888939637806482,0.18365867288315582,1.983295829058036
21,21,1.0,21.0,-0.22172863139178162,-1.385410587961502,0.22332458946431655,2.326805880819253
0,0,2.0,18.0,-0.04848787526645235,0.005937046940222068,-0.035609684673443866,0.013218033115533726
1,1,2.0,18.0,-0.04836913432764791,0.2015511132575079,-0.03534532401113319,-0.29048408460473646
2,2,2.0,18.0,-0.04433811206249775,0.3971587635840955,-0.041155005703227915,-0.5941016625999774
3,3,2.0,18.0,-0.03639493679081584,0.20263629540832145,-0.05303703895522746,-0.31466118391090225
4,4,2.0,18.0,-0.03234221088264941,0.008308386396830902,-0.059330262633445506,-0.03916477724333828
5,5,2.0,18.0,-0.03217604315471279,0.2042287328947524,-0.06011355817831227,-0.3499610727193966
6,6,2.0,18.0,-0.028091468496817745,0.010010936091103123,-0.06711277963270021,-0.07682333772241423
7,7,2.0,18.0,-0.027891249774995682,-0.18408792012053513,-0.06864924638714849,0.1939531598906527
8,8,2.0,18.0,-0.03157300817740639,-0.37816412961639084,-0.06477018318933543,0.4642147440395289
9,9,2.0,18.0,-0.039136290769734204,-0.18218955574901038,-0.05548588830854485,0.15184015641232257
10,10,2.0,18.0,-0.04278008188471441,0.013681186213244156,-0.0524490851802984,-0.15781828659067737
11,11,2.0,18.0,-0.042506458160449526,0.20951329936277363,-0.05560545091211195,-0.46657547422007073
12,12,2.0,18.0,-0.038316192173194055,0.4053750013659527,-0.06493696039651337,-0.7762535252176588
13,13,2.0,18.0,-0.030208692145875002,0.6013271044441997,-0.08046203090086654,-1.0886402298306561
14,14,2.0,18.0,-0.01818215005699101,0.7974124037110064,-0.10223483549747966,-1.4054468999213388
15,15,2.0,18.0,-0.002233901982770882,0.9936441313998048,-0.13034377349590645,-1.7282622857607477
